numb,name,author,performer,Link to the lyrics,YouTube link,Spotify link
36,Їхав козак на війноньку,Народна пісня,,https://www.pisni.org.ua/songs/6149555.html,https://youtu.be/nHWfANSjw0M?si=D7I_R6oSaqLIKAMm,https://open.spotify.com/track/6J0iIi6JeKH73mOclL6WGS?si=300O6QXRS6W6nO0NHSPvVg
37,Йшли селом партизани,Ярослав Нудик,Львівські музики,https://www.pisni.org.ua/songs/5545.html,https://youtu.be/qHTIEWnTH5E?si=B7Sa6fYueHJmR7hN,https://open.spotify.com/track/6vseNXK8VlLbUfcyFJ1afJ?si=mT7AckGnRWeuj_CXjMEWug
38,Кедь ми прийшла карта,народна,Тарас Чубай,https://www.pisni.org.ua/songs/213879.html,https://www.youtube.com/watch?v=wviL18ZXcQc,https://open.spotify.com/track/6CwpAhU9aLfd3zIKcS3Mtx?si=c_vb5L0WSA-hVWVagIV1OQ
39,Коли ти смієшся,,Мертвий півень,https://www.pisni.org.ua/songs/51405.html,https://www.youtube.com/watch?v=zbEhHyw-jA0,https://open.spotify.com/track/6q7WaQoT14rpxwiRuPY2QS?si=pGfbpHHHSgaxrh_mqYBSMg
40,Коли у путь,Журборіз,Журборіз,https://www.pisni.org.ua/songs/2971.html,https://youtu.be/QdYcxQZMp9o?si=FcXu96wZNkEj3H5F,,
41,Кольорова,,Скрябін,https://www.pisni.org.ua/songs/860714.html,https://www.youtube.com/watch?v=hfFSJ0m16zk,https://open.spotify.com/track/2qVP9pvkLiWLF3JwEsEZUG?si=BP_AdXVeTi-98B-hmrkl-g
42,Країна Мрій,,Воплі Відоплясова,https://www.pisni.org.ua/songs/218614.html,https://www.youtube.com/watch?v=5_dcRN8il-w,https://open.spotify.com/track/2VR7MZHott13vnRjSzfqqH?si=jNOGc4JUQPmZ4_Dly6Oo4A
43,Крик,,O.Torvald,https://www.pisni.org.ua/songs/8288103.html,https://youtu.be/jD6qgcSigWM,https://open.spotify.com/track/4kXnV6fZAU5u7V46xREKW0?si=iSs1VBY9RgOlqq_rBIVYHA
44,Лемківщина//Там на лемківщині//,Костянтин Павляк,,https://www.pisni.org.ua/songs/7745.html,https://www.youtube.com/watch?v=1KFo_HPahuc,,
45,Лента за лентою,Микола Сороколіта,Тарас Чубай,https://www.pisni.org.ua/songs/112323.html,https://youtu.be/acn-fC0jvc0?si=ZvvPcnD0UBdf1fci,https://open.spotify.com/track/1Z4ZhGJEKH1xV2xP6hrYnL?si=8RQ0sqrnQkuB_tV4WQviMQ
46,Лицарський хрест,Тартак,Тартак,https://www.pisni.org.ua/songs/678797.html,https://youtu.be/dFZC3NTOwho?si=H33h6ikfZiMLe1qO,https://open.spotify.com/track/7lfCzlxKJunUjZC97cYNTc?si=SNB1-DYfTHe4jfI76-e6xA
47,Марш Звитяги,Ярослав Юрчишин,Ярослав Юрчишин,https://www.pisni.org.ua/songs/414333.html,https://www.youtube.com/watch?v=Vl8F0uFfrSE,,
48,Мексиканець,Zwyntar,Zwyntar,https://genius.com/Zwyntar-mexican-lyrics,https://youtu.be/KJVT3Wvp2z0?si=K4aZZ_jvyBCZd79L,https://open.spotify.com/track/3wCSp8twVjqjvVUU8rT0zv?si=2kJmIqVWSN-s4xuAr94gdg
49,Місто весни,,Океан Ельзи і Один в Каное,https://www.pisni.org.ua/songs/7430044.html,https://www.youtube.com/watch?v=pmoYP_QvGsM,https://open.spotify.com/track/56wSomSllGESHGhcfHrvEw?si=60wpzgyyRnqje9yeY-QQ6Q
50,Місця щасливих людей,Андрій Кузьменко,А.Кузьменко,https://www.pisni.org.ua/songs/6205374.html,https://youtu.be/9AverhY6qAo?si=58FlAmx0zs7bPMG-,https://open.spotify.com/track/48GNGQQx6fDAz2Vh3gpUyI?si=1c0tAlRFR5O2wqT6JDAP0g
51,Мовчати,Скрябін,Скрябін,https://www.pisni.org.ua/songs/44032.html,https://youtu.be/I3dYY6Se46k?si=xJwbTPHbg1lch4cs,https://open.spotify.com/track/7viFNqWQ3ptgDBQLXf9GPO?si=fiPEki5CSV2PimiHGkmD_w
52,Надія є,Mad Heads,Mad Heads,https://www.pisni.org.ua/songs/817205.html,https://youtu.be/4CzjF-yzn0Y?si=B7_u7TWXX4uG7SfF,https://open.spotify.com/track/2lokpnfX2lLomlAKmxSzF9?si=U1YeY9mrSRGlEyBjety--Q
53,На покинутих згарищах,,,https://www.pisni.org.ua/songs/235716.html,https://www.youtube.com/watch?v=IqjoMtQz5Mw,https://open.spotify.com/track/2ANJRz7U6p7jGwEBgSofHu?si=M8vi8EnTTP-hmV2OrhAVwg
54,"Не дзвонила , не заходила",Мотор'ролла,Мотор'ролла,https://www.pisni.org.ua/songs/920786.html,https://youtu.be/uoDK7eekBx4?si=DSt5V7s8rDi7VFHk,https://open.spotify.com/track/3Hw9VEsXcL2DjaZRNHc59L?si=EqH-3DJOQrWQ3kfYm4XIJQ
55,"Не пора, не пора! ",,Хорея Козацька і Тарас Компаніченко,https://www.pisni.org.ua/songs/13024.html,https://www.youtube.com/watch?v=DeG5yN2_t2k,,
56,"Ніч , яка Господи , місячна зоряна",Михайло Старицький,,https://www.pisni.org.ua/songs/610050.html,https://youtu.be/QVVNvm-gPwA?si=c0J246PeOUyoZyEj,https://open.spotify.com/track/1j5a05cwobfGYEPZhgwHch?si=BUHkoNlwTU2s_x8ECmwZ-w
57,Обійми мене,,На Вiдмiну Вiд feat. ДІЛЯ,https://www.pisni.org.ua/songs/5189209.html,https://www.youtube.com/watch?v=GJQ1USS6y6k,https://open.spotify.com/track/5PRiqBPvgq3WGyar6vlnV1?si=WAUo9IEHRmurlu0g9xcENQ
58,Огень,А.Винницький,А.Винницький,https://www.pisni.org.ua/songs/81001.html,https://www.youtube.com/watch?v=ebv1rRBbBok&list=PLfTxKBF_IVeAXOTBmhOYG6MfwxhJSAGmN&index=13,
59,Ой служив я в пана,Григорій Верета,"О.Савчук,Т.Козьменко",https://www.pisni.org.ua/songs/88205.html,https://youtu.be/IANjQGE0YAE?si=J5aUV8_xyJW0-CQo,https://open.spotify.com/track/5Yg5zgKKBbd5xHha30LmJM?si=i-WKGi9zSKuSuTrm4VYfdw
60,"Ой , смереко",Любомир Яків,Олександр Кварта,https://www.pisni.org.ua/songs/431930.html,https://youtu.be/8TZpLfBL3dg?si=-OLgt60kSt72Xb_q,https://open.spotify.com/track/4GusNMNNrGvEJSoVbN61uh?si=LmffJXLbSLaru4Gz8tLtbw
61,Ой на горі два дубки,Володимир Конощенко,Mad Heads,https://www.pisni.org.ua/songs/431930.html,https://youtu.be/GooweFfEPNA?si=LxoAxPtY7L_EVmkj,https://open.spotify.com/track/4Vz5URuEhL4jKVXAYo9Av6?si=JRbnsWMIRHOL6A_2ydCZ9w
62,Ой на горі та й женці жнуть,народна,,https://www.pisni.org.ua/songs/529040.html,Ой на горі та женці жнуть...(плюс зі словами) (youtube.com),https://open.spotify.com/track/05Ie3HULnxbH4CZHHzEydn?si=kVayK4IXQHCKGttUmirJQw
63,"Ой на Івана , та й на Купала",Народна пісня,,https://www.pisni.org.ua/songs/684757.html,https://youtu.be/keYwq-2cxyo?si=E9DjVGtTAxtgWf4r,
64,Ой у вишневому саду,,Navka,https://www.pisni.org.ua/songs/813450.html,https://youtu.be/qAzfJmH3uXA?si=zICyUc5_3mhNNq5B,https://open.spotify.com/track/7ae1b5SgJu7j8RRpPXKUAQ?si=D1qyNuTLS4WX5fGI79xOaA
65,Ой у лузі,"Степан Чернецький , Григорій Трух",Тарас Чубай,https://www.pisni.org.ua/songs/8878.html,https://youtu.be/5nkgfoaI_rI?si=YEgSuVJWBoozv5iT,https://open.spotify.com/track/6xpSAkcNCoXbnfb59m1jcb?si=8aJBXZqmSdO50jlHH9rpag&context=spotify%3Atrack%3A38GpHSbg4wFCkiarqdc9QX
66,Отче наш,,,https://www.pisni.org.ua/songs/214410.html,https://www.youtube.com/watch?v=R8MUg7exRF4,,
67,Пластовий обіт,Дрот,,https://www.pisni.org.ua/songs/614440.html,https://www.youtube.com/watch?v=xeg94cqzeGs,,
68,Пісня буде поміж нас,"Володимир Івасюк (Альбом ""Невидане"")","Володимир Івасюк (Альбом ""Невидане"")",https://www.pisni.org.ua/songs/2407777.html,https://www.youtube.com/watch?v=X6fY-ne_e2M,https://open.spotify.com/track/3zMXNsXxUItDn3dwlyzxx4?si=Uw2bfDXdSQ20dvRQMRl8jA
69,Пісня про палія,,,https://www.pisni.org.ua/songs/94889.html,https://youtu.be/3nBVfpfJvGg?si=8m6djQJikcN8-ki_,https://open.spotify.com/track/3qpZy1Pu2onNoVKjuyP0P8?si=y3RHH5VhSPS_ov5Ii_bCGg
70,Попереду,OT VINTA,,https://www.pisni.org.ua/songs/4109436.html,https://youtu.be/NNrTxfEDpBU?si=QQ7bYHaxOpD3UDDv,https://open.spotify.com/track/3qpZy1Pu2onNoVKjuyP0P8?si=2XcF3if9QyWev2zX2le_Aw&context=spotify%3Atrack%3A2HnkGWiQMXcMMClP5S60Qi
71,Прогноз погоди,,Скрябін ,https://www.pisni.org.ua/songs/6301075.html,https://www.youtube.com/watch?v=tDex3Ry36wQ,
72,Ріка ,Жадан і Собаки,Жадан і Собаки,https://www.pisni.org.ua/songs/9436580.html,https://www.youtube.com/watch?v=szad9NmyYd4,https://open.spotify.com/track/7EE6cQvaBwwcYOJ6b8czJ8?si=yZUBUnq6Qiy6t_Z15ApwFQ
73,Русалочки,,Даха Браха,https://www.pisni.org.ua/songs/7481642.html,https://www.youtube.com/watch?v=886jjdRYD94,https://open.spotify.com/track/3RGrDLWj1T6mYGVrxw0bk8?si=xu6fMwZjRLG7LzENI3ndZw
74,Село,А. Возняк,А. Возняк,https://www.pisni.org.ua/songs/2288226.html,https://youtu.be/PTQqa1QsMUs,,
75,Сиджу я край віконечка,,,https://www.pisni.org.ua/songs/610093.html,https://youtu.be/JVgVaeeFvUk?si=TVJoIsDBkyC7Zq66,https://open.spotify.com/track/0cC1q0xR8wIkYJMCdEqRtf?si=awiCDaFcTQ-XTb-Kz3i43A
76,Сон,Анатолій Фіглюк,Степан Гіга,https://www.pisni.org.ua/songs/266952.html,https://youtu.be/2eqMmPBvXQo?si=_dpjiFq-I8WjcQp9,https://open.spotify.com/track/7d0jzbPDzAfpptdL3HcMtn?si=cagikX-ISY-imInw_kMicg
77,Спи собі сама,Скрябін,Скрябін,https://www.pisni.org.ua/songs/84312.html,https://youtu.be/oAFsYJEsd2M?si=xyyNka9qCpM56XNt,https://open.spotify.com/track/3vrpApJRpP927wcxjvwhst?si=ziawYQnvQ8OPNRVq9sHoMg
78,Старенький травмай,Олександр Шевченко,Пікардійська терція,https://www.pisni.org.ua/songs/255.html,https://youtu.be/QOWM4XNEcHg?si=_Yqgr5piMEeTT4A-,https://open.spotify.com/track/1epGnVIuUyggVsODF0BgR8?si=auRD_DpwSH6wyFHftQSDAQ
79,Старі фотографії,Скрябін,Скрябін,https://www.pisni.org.ua/songs/421583.html,https://youtu.be/8i1CN_O0bq0?si=axS1y7DcUO7EnHho,https://open.spotify.com/track/7Gxe4Ewcp2hRe6XB1U8flo?si=DSsndDAHTG60wyQ-Hp5Qtg
80,Там на горі на Маківці,,,https://www.pisni.org.ua/songs/81013.html,https://youtu.be/nnQDaxsRF3U?si=AtDgu1n_lvGX4hQI,https://open.spotify.com/track/38FX1iexcrwXR50p1bPAA4?si=NGlMJY-ZSsqcRYR5lR4fZA
81,"Там, під львівським замком",Стрілецька пісня,Тарас Чубай,https://www.pisni.org.ua/songs/23091.html,https://youtu.be/HJQAR3gGeG0?si=priJ5w4huMWntbmX,https://open.spotify.com/track/5NUmgPKA8yAtkpw6slunKY?si=1iHb6APoQS2iULzvOYbh2Q
82,Теплий дощ,,Сергій Паньків,https://www.pisni.org.ua/songs/4262481.html,https://youtu.be/-48hWKtuQwk,https://open.spotify.com/track/4tlU2zvMFiD3QV4PBWeCC1?si=bZZJnZJ9RmioQ4Y6Z7s_VQ
83,Ти до мене не ходи,народна,Зубрівка,https://www.pisni.org.ua/songs/2128267.html,https://youtu.be/wAupdvKCBIM,https://open.spotify.com/track/1RkyrhxDvRe3BtgBVXgUWW?si=yrMg0RLOQVG48-2UCiduHg
84,Ти ж мене підманула,,,https://www.pisni.org.ua/songs/614899.html,https://youtu.be/XPXXapnWpcw?si=oH3n-Fw2MCnAC8O4,https://open.spotify.com/track/18QTj8jNPzSyF2bcCKmQAR?si=Whi5iNzYT66qki7pOvcvEg
85,Хата моя,Т. Чубай,Плач Єремії,https://www.pisni.org.ua/songs/412583.html,https://www.youtube.com/watch?v=Vx6NsBH1ILs,,
86,Хлопці з Бандерштату,С. Кузьмінський,Брати Гадюкіни ,https://www.pisni.org.ua/songs/640050.html,https://www.youtube.com/watch?v=MJzz9AGh_NI,https://open.spotify.com/track/1At7wEJ7Wms9OO3Yftf8Mi?si=NpyCLyiJTSaHPrCKr7ErEA
87,Царю небесний,,,https://www.pisni.org.ua/songs/25869.html,https://www.youtube.com/watch?v=bJZkq2Hcnck,,
88,Цвіте терен,Брій Рибчинський,Олександр Кварта і Михайло Зелінський,https://www.pisni.org.ua/songs/916080.html,https://youtu.be/8cM3MxqxKbU?si=ui-xrKYzOJTp04vO,https://open.spotify.com/track/6p6IlzwkptGnjUi6YnJadF?si=DzKIdGkHRVeGV8tx_K6jLw
89,Час рікою пливе,"Б.Лепкий, І.Франко",Микола Гнатюк,https://www.pisni.org.ua/songs/214022.html,https://www.youtube.com/watch?v=tbJCg1oVt7o,https://open.spotify.com/track/6TjRMT1bv4CLYWjHiH1G3e?si=_JA50DiYQ7uJ0XKM5jxrYA
90,Червона рута,В.Івасюк,В.Івасюк,https://www.pisni.org.ua/songs/817373.html,https://youtu.be/iV_4XvldJw0?si=bBmKjLGtScofune1,https://open.spotify.com/track/3zVyacM960bZnXhCROcQic?si=ip49NDoKR-WbKUH_aC34OQ
91,Черемшина,,,https://www.pisni.org.ua/songs/51747.html,https://www.youtube.com/watch?v=Vn-n2noGVaw,https://open.spotify.com/track/1vRTuQwpwUQ5poNgJpXRsw?si=Jnq-tIBoRGyx0qpDwaBITw
92,Човен,Іван Франко,Один в каное,https://www.pisni.org.ua/songs/8296676.html,https://youtu.be/AKlFiQHvCaE?si=VrOQnT0qS_HbTw02,https://open.spotify.com/track/12L3PRi1KaDiCPhFngI6Al?si=TkXz4_dPTquBLeW23yvhjQ
93,Чом ти не прийшов ?,,,https://www.pisni.org.ua/songs/231498.html,https://youtu.be/Pn6zEP1TzDg?si=lp7OyWfTiP6eRcR8,https://open.spotify.com/track/3ljHk6WChcHQSx6JCVUFji?si=JiV6uJMJTJCzxa9BcEmqlg\
94,"Чорні очка , чорні очка як терен",народна,Віктор Павлік,https://www.pisni.org.ua/songs/510405.html,https://youtu.be/SrHlTr2U-GY?si=toitGfsklRlnHeNm,https://open.spotify.com/track/0xaqyLQeCPaisYmLLcih1Y?si=bJ7u__R5SPGCpdLKbWBzWw
95,Шабелина,народна,OT VINTA,https://www.pisni.org.ua/songs/335525.html,https://youtu.be/Tz8r10rO7oE?si=6Q6aQEcGk3OybDz9,https://open.spotify.com/track/5acb8gbWIevVkM6E5KCK0S?si=Q08j4gtNSb2JEgKuOAS2_A
96,Шампанські очі,А. Кузьменко,Скрябін//Д.Шуров//Піанобой//,https://www.pisni.org.ua/songs/465532.html,https://www.youtube.com/watch?v=3_jcL6nAF94,https://open.spotify.com/track/07WLpa84unlVmRB4Q9Dwtj?si=qYUr4QY3SaGD7nM6CY79Sw
97,Шибеник,Харцизи,Харцизи,https://tekst-pisni.com/harczyzy-shybenyk/,https://youtu.be/NwuV3W4oFVU?si=bzTeT3QM5rTuUHGP,https://open.spotify.com/track/4aT7WRO0nqrBQwKzTVPC4k?si=35G6WbFpSwmBLSFKyvf-rA
98,Я Крук,,,https://www.pisni.org.ua/songs/2952.html,https://www.youtube.com/watch?v=guYCcf0kD4U,,
99,Я піду в далекі гори,В.Івасюк,В.Івасюк,https://www.pisni.org.ua/songs/9181.html,https://youtu.be/X6fY-ne_e2M?si=IxJPHR38Qm3tP7JJ,https://open.spotify.com/track/0w5QAcxm2NJDdoCuefrK1a?si=KLT2RC5zSSiIgrqoXLaPYA
